City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
avarua,0,CK,02/25/19,62,-21.21,-159.78,84.2,6.93
badulla,20,LK,02/25/19,93,6.99,81.06,67.48,2.06
souillac,0,FR,02/25/19,76,45.6,-0.6,51.8,3.36
ketchikan,1,US,02/25/19,21,55.34,-131.65,41.0,17.22
shadrinsk,44,RU,02/25/19,81,56.09,63.63,9.65,6.08
weihai,64,CN,02/25/19,95,37.5,122.11,39.8,4.29
hobart,75,AU,02/25/19,76,-42.88,147.33,57.2,10.29
bluff,24,AU,02/25/19,45,-23.58,149.07,81.47,12.46
diamantino,36,BR,02/25/19,89,-14.4,-56.44,74.63,7.76
miyako,75,JP,02/25/19,87,33.63,130.94,46.99,3.36
bredasdorp,48,ZA,02/25/19,82,-34.53,20.04,66.2,3.36
calafell,0,ES,02/25/19,81,41.2,1.57,54.0,5.82
te anau,88,NZ,02/25/19,51,-45.41,167.72,59.2,9.89
mayumba,92,GA,02/25/19,98,-3.44,10.65,80.93,5.53
lakhipur,32,IN,02/25/19,80,26.03,90.3,53.3,2.62
hithadhoo,68,MV,02/25/19,100,-0.6,73.08,77.15,5.64
qaanaaq,0,GL,02/25/19,82,77.48,-69.36,-14.16,8.55
esperance,20,TT,02/25/19,83,10.24,-61.45,77.0,6.93
pevek,32,RU,02/25/19,80,69.7,170.27,-12.81,9.44
norman wells,75,CA,02/25/19,61,65.28,-126.83,14.0,2.24
opunake,0,NZ,02/25/19,34,-39.45,173.86,71.01,4.0
ipu,56,BR,02/25/19,97,-4.32,-40.71,71.98,2.62
namatanai,36,PG,02/25/19,97,-3.66,152.44,83.45,3.18
comodoro rivadavia,20,AR,02/25/19,48,-45.87,-67.48,60.8,1.12
ribeira grande,44,PT,02/25/19,100,38.52,-28.7,54.29,24.32
upernavik,64,GL,02/25/19,100,72.79,-56.15,3.71,12.12
rosario do sul,76,BR,02/25/19,62,-30.26,-54.91,71.03,13.24
nuuk,90,GL,02/25/19,92,64.17,-51.74,19.4,9.17
verkhnyaya inta,80,RU,02/25/19,81,65.99,60.32,26.03,7.43
tuatapere,24,NZ,02/25/19,52,-46.13,167.69,66.0,8.01
bereda,0,ES,02/25/19,81,43.27,-7.54,51.01,4.7
margate,75,AU,02/25/19,76,-43.03,147.26,57.2,10.29
axim,24,GH,02/25/19,97,4.87,-2.24,83.23,12.35
west wendover,1,US,02/25/19,26,40.74,-114.07,57.2,19.46
boca do acre,68,BR,02/25/19,92,-8.76,-67.39,74.99,2.39
pisco,0,PE,02/25/19,30,-13.71,-76.2,71.6,20.8
tautira,75,PF,02/25/19,66,-17.73,-149.15,89.6,8.05
deputatskiy,0,RU,02/25/19,65,69.3,139.9,-36.3,2.73
clinton,90,US,02/25/19,56,41.84,-90.19,19.4,5.82
marienburg,0,DE,02/25/19,69,52.12,9.98,45.0,4.7
kalmunai,68,LK,02/25/19,97,7.42,81.82,72.56,2.73
polyarnyy,75,RU,02/25/19,79,69.2,33.45,23.0,4.47
merauke,12,ID,02/25/19,92,-8.49,140.4,83.18,6.31
sulangan,0,PH,02/25/19,100,11.14,123.72,78.01,13.69
chik,0,RU,02/25/19,84,54.99,82.44,8.6,8.95
soe,90,EE,02/25/19,90,57.91,26.05,34.0,13.87
carnarvon,44,ZA,02/25/19,31,-30.97,22.13,64.91,8.1
hanmer springs,0,NZ,02/25/19,61,-42.52,172.83,63.7,4.74
torbay,88,CA,02/25/19,100,47.66,-52.73,28.0,17.0
praya,20,ID,02/25/19,100,-8.71,116.27,77.0,1.12
yellowknife,75,CA,02/25/19,64,62.45,-114.38,1.4,8.05
maymyo,20,MM,02/25/19,83,22.03,96.47,69.8,3.36
muros,0,ES,02/25/19,66,42.77,-9.06,59.0,3.36
rock sound,56,BS,02/25/19,100,24.9,-76.2,77.06,10.11
ukiah,90,US,02/25/19,87,39.15,-123.21,54.0,13.87
nam som,92,TH,02/25/19,98,17.77,102.19,68.24,2.17
pandan,0,PH,02/25/19,100,11.72,122.09,78.5,13.47
karasjok,75,NO,02/25/19,100,69.47,25.52,26.6,2.24
qaqortoq,20,GL,02/25/19,40,60.72,-46.03,35.6,13.87
khatanga,12,RU,02/25/19,30,71.98,102.47,-21.45,4.29
paamiut,64,GL,02/25/19,100,61.99,-49.67,26.3,19.84
jaciara,24,BR,02/25/19,72,-15.95,-54.98,75.76,4.52
sorland,75,NO,02/25/19,86,67.67,12.69,37.4,20.8
medea,20,DZ,02/25/19,93,36.27,2.77,39.2,2.24
nikolskoye,0,RU,02/25/19,80,59.7,30.79,36.0,11.18
nioro,0,GM,02/25/19,28,13.79,-15.05,67.16,9.55
samarai,0,PG,02/25/19,98,-10.62,150.67,82.78,6.2
atuona,8,PF,02/25/19,100,-9.8,-139.03,81.2,5.97
valley city,90,US,02/25/19,69,46.92,-98.0,-4.01,10.29
nkhotakota,8,MW,02/25/19,97,-12.93,34.3,69.14,2.73
porbandar,0,IN,02/25/19,80,21.64,69.61,68.78,8.66
lorengau,8,PG,02/25/19,93,-2.02,147.27,83.99,4.63
shubarkuduk,76,KZ,02/25/19,91,49.15,56.49,14.78,6.31
yulara,0,AU,02/25/19,18,-25.24,130.99,87.8,14.99
alyangula,64,AU,02/25/19,94,-13.85,136.42,78.8,4.97
half moon bay,90,US,02/25/19,71,37.46,-122.43,57.2,26.4
dasoguz,0,TM,02/25/19,89,41.84,59.97,37.4,4.7
jiaocheng,88,CN,02/25/19,97,24.68,116.14,54.2,2.62
aykhal,44,RU,02/25/19,68,65.95,111.51,5.87,8.43
minbu,0,MM,02/25/19,92,20.18,94.88,64.19,3.62
provideniya,90,RU,02/25/19,96,64.42,-173.23,32.0,17.9
chisinau,0,MD,02/25/19,65,47.01,28.86,41.0,11.41
amapa,40,HN,02/25/19,65,15.09,-87.97,82.4,23.04
roma,0,IT,02/25/19,70,41.89,12.48,43.0,4.7
saint anthony,90,US,02/25/19,74,43.97,-111.68,39.99,10.29
srostki,24,RU,02/25/19,58,52.42,85.7,1.46,2.73
sitka,0,US,02/25/19,46,37.17,-99.65,55.28,14.36
nyimba,12,ZM,02/25/19,73,-14.56,30.81,68.24,4.41
atbasar,88,KZ,02/25/19,84,51.81,68.36,11.86,4.85
suraabad,90,AZ,02/25/19,93,40.82,49.47,41.0,3.36
alekseyevsk,64,RU,02/25/19,67,57.84,108.35,21.13,5.19
soltvadkert,0,HU,02/25/19,51,46.58,19.39,36.0,6.93
melilla,40,EC,02/25/19,74,-0.8,-80.23,84.2,5.82
tabas,0,IR,02/25/19,75,33.6,56.92,34.22,3.18
altay,8,CN,02/25/19,49,47.83,88.13,-7.5,4.29
matara,92,PE,02/25/19,93,-13.74,-72.9,47.0,1.72
kavieng,80,PG,02/25/19,100,-2.57,150.8,81.61,8.55
lyuban,48,BY,02/25/19,79,52.8,28.0,31.79,14.03
fortuna,0,ES,02/25/19,81,38.18,-1.13,50.0,4.7
tari,8,NG,02/25/19,54,12.41,4.49,65.9,3.06
auraiya,0,IN,02/25/19,81,26.47,79.52,55.96,8.66
edgecumbe,0,NZ,02/25/19,50,-37.98,176.83,72.0,1.01
hambantota,20,LK,02/25/19,100,6.12,81.12,79.18,6.98
smithers,5,CA,02/25/19,56,54.78,-127.17,12.2,3.36
ayan,0,TR,02/25/19,69,40.67,33.6,15.46,2.39
north bend,20,US,02/25/19,87,43.41,-124.22,45.0,6.93
okhotsk,0,RU,02/25/19,100,59.36,143.24,-7.41,6.2
burgersdorp,0,ZA,02/25/19,27,-30.99,26.32,56.09,8.1
husavik,0,CA,02/25/19,67,50.56,-96.99,1.0,5.99
meulaboh,56,ID,02/25/19,100,4.14,96.13,79.36,4.63
harper,1,US,02/25/19,45,30.3,-99.24,66.99,13.87
vostochnyy,90,RU,02/25/19,94,55.82,37.87,35.6,11.18
vestmannaeyjar,92,IS,02/25/19,91,63.44,-20.27,47.05,31.92
lac-au-saumon,90,CA,02/25/19,85,48.42,-67.35,23.0,14.99
suntar,44,RU,02/25/19,64,62.16,117.65,19.82,11.45
valverde del camino,0,ES,02/25/19,57,37.57,-6.75,54.0,7.0
tamara,20,HN,02/25/19,36,14.16,-87.34,89.6,11.41
nha trang,20,VN,02/25/19,83,12.24,109.19,77.0,8.05
henties bay,88,NA,02/25/19,89,-22.12,14.28,70.0,1.99
san patricio,48,PY,02/25/19,93,-26.98,-56.83,68.69,5.97
tamale,0,GH,02/25/19,40,9.4,-0.84,71.03,3.18
verkhnyaya toyma,88,RU,02/25/19,95,62.24,45.0,29.86,3.96
yatou,75,CM,02/25/19,100,3.63,9.81,73.4,3.36
panjab,0,AF,02/25/19,61,34.38,67.02,-15.06,1.61
necochea,88,AR,02/25/19,83,-38.55,-58.74,53.01,3.0
isangel,88,VU,02/25/19,100,-19.55,169.27,81.92,12.01
leh,24,IN,02/25/19,42,34.16,77.58,-24.28,1.61
kilindoni,88,TZ,02/25/19,98,-7.91,39.67,84.08,11.01
kodiak,1,US,02/25/19,58,39.95,-94.76,36.0,10.29
grindavik,90,IS,02/25/19,93,63.84,-22.43,48.2,18.34
adrar,0,DZ,02/25/19,31,27.87,-0.29,48.2,17.22
iqaluit,75,CA,02/25/19,69,63.75,-68.52,-13.01,2.73
mar del plata,8,AR,02/25/19,55,-46.43,-67.52,56.41,9.22
saint george,75,GR,02/25/19,59,39.45,22.34,37.4,1.39
saldanha,0,PT,02/25/19,78,41.42,-6.55,36.29,2.62
fort nelson,90,CA,02/25/19,66,58.81,-122.69,12.2,2.51
khandyga,0,RU,02/25/19,44,62.65,135.58,-28.24,2.62
fortuna foothills,1,US,02/25/19,19,32.66,-114.41,70.0,3.36
porac,75,PH,02/25/19,88,15.07,120.54,75.99,2.24
menongue,48,AO,02/25/19,49,-14.66,17.68,75.17,3.62
palmeira,44,BR,02/25/19,95,-25.43,-50.0,64.0,4.18
piacabucu,20,BR,02/25/19,76,-10.41,-36.43,80.57,10.67
cidreira,88,BR,02/25/19,84,-30.17,-50.22,70.58,7.87
bilma,48,NE,02/25/19,26,18.69,12.92,56.41,9.78
cayenne,88,GF,02/25/19,88,4.94,-52.33,77.0,6.93
salisbury,0,GB,02/25/19,80,51.07,-1.8,48.99,3.36
cockburn town,0,TC,02/25/19,100,21.46,-71.14,77.2,17.6
pochinki,88,RU,02/25/19,95,54.7,44.85,27.56,5.75
palora,75,EC,02/25/19,78,-1.7,-77.97,73.4,2.24
lompoc,40,US,02/25/19,77,34.64,-120.46,63.0,6.93
awjilah,0,LY,02/25/19,88,29.14,21.3,42.86,3.62
kahului,20,US,02/25/19,51,20.89,-156.47,81.0,12.75
beringovskiy,92,RU,02/25/19,94,63.05,179.32,30.08,26.78
clyde river,5,CA,02/25/19,67,70.47,-68.59,-27.41,4.7
remontnoye,80,RU,02/25/19,100,46.56,43.66,26.6,26.84
hirara,75,JP,02/25/19,88,24.8,125.28,69.8,11.41
bud,36,NO,02/25/19,81,62.91,6.91,44.6,2.24
richards bay,0,ZA,02/25/19,86,-28.77,32.06,73.91,11.9
makakilo city,75,US,02/25/19,57,21.35,-158.09,78.8,9.17
judaberg,90,NO,02/25/19,100,59.17,5.87,42.01,2.24
norrkoping,0,SE,02/25/19,69,58.59,16.18,41.0,13.87
la rioja,64,AR,02/25/19,55,-29.41,-66.86,74.0,3.18
eureka,90,US,02/25/19,100,40.8,-124.16,48.0,9.17
egvekinot,88,RU,02/25/19,85,66.32,-179.17,15.55,11.9
petrozavodsk,32,RU,02/25/19,80,61.79,34.39,35.6,8.95
huejuquilla el alto,0,MX,02/25/19,29,22.63,-103.9,67.97,7.2
bathsheba,40,BB,02/25/19,73,13.22,-59.52,77.0,19.46
flin flon,5,CA,02/25/19,49,54.77,-101.88,-0.41,6.93
jiancheng,75,CN,02/25/19,100,30.39,104.55,51.01,4.47
skibbereen,75,IE,02/25/19,100,51.55,-9.27,46.4,10.29
mahebourg,40,MU,02/25/19,83,-20.41,57.7,80.6,9.17
orangevale,90,US,02/25/19,87,38.68,-121.23,55.0,12.75
taoudenni,0,ML,02/25/19,21,22.68,-3.98,55.6,14.14
keti bandar,0,PK,02/25/19,93,24.14,67.45,73.19,14.58
tawau,40,MY,02/25/19,83,4.26,117.89,75.2,3.36
bethel,90,US,02/25/19,74,60.79,-161.76,39.2,14.99
wilmington,0,US,02/25/19,31,39.75,-75.55,39.2,14.99
lebu,20,ET,02/25/19,55,8.96,38.73,60.8,9.17
sinnamary,92,GF,02/25/19,93,5.38,-52.96,79.63,11.79
tanout,80,NE,02/25/19,36,14.97,8.88,69.91,4.07
whitianga,12,NZ,02/25/19,53,-36.83,175.7,75.99,3.0
nador,0,MA,02/25/19,67,35.17,-2.93,57.2,6.93
quang ngai,0,VN,02/25/19,89,15.12,108.8,64.55,3.18
chaihe,0,CN,02/25/19,66,44.77,129.68,20.23,4.07
broken hill,8,AU,02/25/19,24,-31.97,141.45,80.6,4.63
nizhniy tsasuchey,0,RU,02/25/19,62,50.52,115.13,7.85,3.18
tenenkou,0,ML,02/25/19,37,14.46,-4.91,61.36,11.23
rovaniemi,0,FI,02/25/19,86,66.5,25.72,30.2,8.05
bad salzungen,0,DE,02/25/19,74,50.81,10.23,39.0,9.17
tura,32,IN,02/25/19,80,25.52,90.21,53.3,2.62
veraval,0,FR,02/25/19,70,49.65,0.71,48.2,5.82
banjar,12,ID,02/25/19,94,-7.37,108.54,74.54,2.73
plettenberg bay,24,ZA,02/25/19,96,-34.05,23.37,65.68,8.77
oktyabrskiy,75,RU,02/25/19,94,55.61,37.97,35.6,8.95
labuhan,56,ID,02/25/19,90,-2.54,115.51,76.43,2.39
balkanabat,92,TM,02/25/19,90,39.51,54.36,33.23,2.39
gamba,0,CN,02/25/19,38,28.28,88.52,-15.96,3.4
mbekenyera,88,TZ,02/25/19,96,-10.0,38.98,72.74,2.39
belmonte,8,PT,02/25/19,84,40.36,-7.35,51.01,3.62
gat,0,SN,02/25/19,60,14.69,-16.54,68.0,17.22
yingkou,0,CN,02/25/19,72,40.67,122.24,28.19,3.74
tecoanapa,5,MX,02/25/19,78,16.99,-99.26,82.4,12.75
kontagora,76,NG,02/25/19,57,10.4,5.47,77.42,4.52
chuy,0,UY,02/25/19,79,-33.69,-53.46,61.85,12.57
vila franca do campo,75,PT,02/25/19,81,37.72,-25.43,55.0,5.82
rota,0,ES,02/25/19,57,36.62,-6.36,59.0,5.82
zhovkva,76,UA,02/25/19,93,50.06,23.97,35.6,8.95
hutchinson,1,US,02/25/19,43,38.06,-97.93,59.0,11.41
kon tum,48,VN,02/25/19,97,14.36,108.0,59.56,2.39
ondjiva,92,AO,02/25/19,21,-17.07,15.73,85.7,8.99
oistins,40,BB,02/25/19,73,13.07,-59.53,77.0,19.46
saint-augustin,0,FR,02/25/19,81,44.83,-0.61,48.99,3.36
luba,24,PH,02/25/19,77,17.32,120.7,70.13,3.62
coquimbo,0,CL,02/25/19,72,-29.95,-71.34,64.4,9.17
longyearbyen,75,NO,02/25/19,58,78.22,15.63,-4.01,2.24
soma,75,JP,02/25/19,55,37.8,140.92,51.01,10.29
cortez,1,US,02/25/19,55,37.35,-108.58,37.99,8.05
kaoma,0,ZM,02/25/19,73,-14.8,24.8,65.41,2.95
mayo,90,CA,02/25/19,70,63.59,-135.9,-0.41,2.24
norsup,92,VU,02/25/19,95,-16.07,167.38,79.76,11.68
bua yai,56,TH,02/25/19,97,15.59,102.43,79.0,6.98
san ramon,40,NI,02/25/19,60,12.92,-85.84,75.2,9.17
masty,24,BY,02/25/19,90,53.42,24.54,29.54,12.57
bloomingdale,90,US,02/25/19,44,41.96,-88.08,23.0,3.36
celestun,64,MX,02/25/19,100,20.87,-90.4,76.25,16.71
strezhevoy,40,RU,02/25/19,92,60.73,77.6,8.6,11.18
ahipara,36,NZ,02/25/19,71,-35.17,173.16,71.21,15.93
solnechnyy,0,RU,02/25/19,65,50.72,136.64,8.21,2.73
tucupita,0,VE,02/25/19,70,9.06,-62.05,77.2,10.33
russell,0,AR,02/25/19,28,-33.01,-68.8,71.6,4.7
lavrentiya,88,RU,02/25/19,96,65.58,-170.99,33.01,23.53
preobrazheniye,0,RU,02/25/19,41,42.9,133.91,26.48,3.29
san policarpo,32,PH,02/25/19,93,12.18,125.51,75.76,8.77
iguape,68,BR,02/25/19,100,-24.7,-47.56,73.73,6.64
vilhena,0,BR,02/25/19,83,-12.74,-60.15,77.0,5.82
ancud,20,CL,02/25/19,62,-41.87,-73.83,59.0,17.22
the valley,20,AI,02/25/19,73,18.22,-63.06,77.0,11.41
grand bank,75,CA,02/25/19,91,47.1,-55.77,34.0,20.8
haines junction,0,CA,02/25/19,86,60.75,-137.51,13.79,2.17
wajima,0,JP,02/25/19,89,37.4,136.9,43.13,7.2
boende,8,CD,02/25/19,84,-0.28,20.88,76.21,3.62
port lincoln,0,AU,02/25/19,74,-34.72,135.86,74.41,12.68
kruisfontein,68,ZA,02/25/19,85,-34.0,24.73,62.39,7.87
beloha,32,MG,02/25/19,85,-25.17,45.06,74.5,4.18
atasu,92,KZ,02/25/19,81,48.68,71.64,21.44,11.34
bosaso,12,SO,02/25/19,100,11.28,49.18,75.31,2.95
arica,0,CL,02/25/19,57,-18.48,-70.32,75.2,9.17
kattivakkam,20,IN,02/25/19,88,13.22,80.32,75.2,3.36
thessalon,40,CA,02/25/19,66,46.26,-83.55,12.2,8.05
kudahuvadhoo,88,MV,02/25/19,100,2.67,72.89,82.19,8.88
kavaratti,0,IN,02/25/19,100,10.57,72.64,81.7,12.24
kristianstad,24,SE,02/25/19,87,56.03,14.16,42.8,9.17
vakhrushev,0,RU,02/25/19,72,48.99,142.86,10.01,3.74
malaya serdoba,88,RU,02/25/19,89,52.47,44.96,25.67,6.2
quatre cocos,40,MU,02/25/19,83,-20.21,57.76,80.6,9.17
jalu,0,LY,02/25/19,87,29.03,21.55,42.5,3.06
sunrise manor,1,US,02/25/19,32,36.21,-115.07,61.0,5.82
barpali,36,IN,02/25/19,92,21.2,83.58,58.7,3.51
geraldton,75,CA,02/25/19,53,49.72,-86.95,-4.01,11.41
baoning,90,CN,02/25/19,93,25.34,110.03,48.2,2.24
puerto el triunfo,20,SV,02/25/19,49,13.27,-88.55,91.4,6.93
renqiu,88,CN,02/25/19,63,38.71,116.1,31.7,6.2
laguna,40,MX,02/25/19,31,27.52,-110.01,75.2,4.7
neuquen,0,AR,02/25/19,22,-38.95,-68.06,69.8,6.93
leningradskiy,68,RU,02/25/19,96,69.38,178.42,-5.11,2.73
tazovskiy,92,RU,02/25/19,82,67.47,78.7,14.06,25.32
ginir,8,ET,02/25/19,70,7.14,40.71,52.63,2.28
goure,12,NE,02/25/19,48,13.98,10.27,67.97,2.62
narsaq,20,GL,02/25/19,40,60.91,-46.05,35.6,13.87
kupang,0,ID,02/25/19,93,-10.16,123.6,83.36,2.84
umkomaas,0,ZA,02/25/19,94,-30.21,30.8,75.99,3.51
mogadishu,20,SO,02/25/19,100,2.04,45.34,79.85,19.84
davila,20,PH,02/25/19,94,18.47,120.58,68.0,2.24
flagstaff,1,US,02/25/19,38,35.2,-111.65,57.99,12.75
sibolga,0,ID,02/25/19,100,1.74,98.78,65.9,2.17
nouakchott,0,MR,02/25/19,9,18.08,-15.98,69.8,10.29
knoxville,1,US,02/25/19,23,35.96,-83.92,53.6,3.36
joshimath,68,IN,02/25/19,85,30.57,79.57,1.91,0.27
hornepayne,36,CA,02/25/19,48,49.22,-84.78,1.46,7.65
aklavik,40,CA,02/25/19,63,68.22,-135.01,32.0,3.36
novoagansk,76,RU,02/25/19,78,61.94,76.66,17.12,8.1
santa cruz,90,US,02/25/19,71,36.97,-122.03,59.0,13.87
luderitz,0,NA,02/25/19,67,-26.65,15.16,64.78,12.8
cap malheureux,40,MU,02/25/19,83,-19.98,57.61,80.6,9.17
petawawa,75,CA,02/25/19,52,45.89,-77.27,15.8,13.87
constitucion,20,MX,02/25/19,13,23.99,-104.67,75.2,25.28
sorong,80,ID,02/25/19,100,-0.86,131.25,79.4,2.06
lismore,76,AU,02/25/19,69,-28.81,153.28,73.99,1.12
fairbanks,1,US,02/25/19,66,64.84,-147.72,35.01,2.84
ouesso,64,CG,02/25/19,97,1.61,16.05,73.33,2.95
genhe,0,CN,02/25/19,55,50.78,121.52,1.19,6.53
maumere,0,ID,02/25/19,100,-8.63,122.22,82.37,5.41
vallenar,0,CL,02/25/19,81,-28.58,-70.76,65.0,1.95
oriximina,80,BR,02/25/19,98,-1.77,-55.87,75.13,2.95
homer,40,US,02/25/19,55,59.64,-151.54,37.4,9.17
biak,64,ID,02/25/19,99,-0.91,122.88,79.4,2.28
sungairaya,56,ID,02/25/19,98,0.7,108.9,74.68,3.62
kloulklubed,75,PW,02/25/19,78,7.04,134.26,80.6,5.82
nago,5,IT,02/25/19,86,45.88,10.89,48.99,2.24
trinidad,0,UY,02/25/19,78,-33.52,-56.9,54.74,3.29
vladyslavivka,88,UA,02/25/19,92,50.53,25.74,36.0,5.99
meadow lake,5,CA,02/25/19,60,54.13,-108.44,5.0,9.17
sao joao do piaui,32,BR,02/25/19,96,-8.36,-42.25,71.71,2.84
tiznit,0,MA,02/25/19,62,29.7,-9.73,55.1,2.95
najran,0,SA,02/25/19,46,17.54,44.22,71.6,9.17
gucheng,92,CN,02/25/19,92,32.27,111.65,39.76,2.17
dingle,0,PH,02/25/19,74,11.0,122.67,74.95,8.66
slave lake,1,CA,02/25/19,69,55.28,-114.77,-7.61,2.24
mbamba,0,NG,02/25/19,75,9.98,13.1,65.36,2.62
tak,44,TH,02/25/19,90,16.87,99.12,62.75,1.61
ruteng,24,ID,02/25/19,94,-8.61,120.46,75.98,3.96
horsham,0,AU,02/25/19,33,-36.71,142.2,83.95,4.52
kettering,0,GB,02/25/19,73,52.4,-0.73,48.99,2.24
tateyama,75,JP,02/25/19,80,36.66,137.31,44.01,2.24
cajabamba,76,EC,02/25/19,97,-1.7,-78.77,49.61,1.28
mount isa,68,AU,02/25/19,58,-20.73,139.49,82.4,8.05
povenets,48,RU,02/25/19,88,62.85,34.83,31.93,13.24
